CPP,Indicator,Type,Year,value
Eilean Siar,Carbon Emissions,Imputed,2016/17,9.043516416205089
Falkirk,Carbon Emissions,Imputed,2016/17,13.781784303336332
Fife,Carbon Emissions,Imputed,2016/17,7.616634105338963
Glasgow City,Carbon Emissions,Imputed,2016/17,4.786284635477348
Highland,Carbon Emissions,Imputed,2016/17,4.786284635477348
Inverclyde,Carbon Emissions,Imputed,2016/17,4.786284635477348
Midlothian,Carbon Emissions,Imputed,2016/17,4.986302574684739
Moray,Carbon Emissions,Imputed,2016/17,6.303590000656826
North Ayrshire,Carbon Emissions,Imputed,2016/17,6.54904918626808
North Lanarkshire,Carbon Emissions,Imputed,2016/17,5.473282861444069
Orkney Islands,Carbon Emissions,Imputed,2016/17,10.430805069643204
Perth and Kinross,Carbon Emissions,Imputed,2016/17,7.4985217834372255
Renfrewshire,Carbon Emissions,Imputed,2016/17,5.610972527341197
Scotland,Carbon Emissions,Imputed,2016/17,5.879722379823369
Scottish Borders,Carbon Emissions,Imputed,2016/17,6.1854025254880645
Shetland Islands,Carbon Emissions,Imputed,2016/17,10.750880749526917
South Ayrshire,Carbon Emissions,Imputed,2016/17,5.235922845329908
South Lanarkshire,Carbon Emissions,Imputed,2016/17,5.389676715357254
Stirling,Carbon Emissions,Imputed,2016/17,6.610867644353666
West Dunbartonshire,Carbon Emissions,Imputed,2016/17,4.786284635477348
West Lothian,Carbon Emissions,Imputed,2016/17,5.862544723894358
Aberdeen City,Child Poverty,Imputed,2006/07,17.807127845172904
Aberdeenshire,Child Poverty,Imputed,2006/07,10.320364100455548
Angus,Child Poverty,Imputed,2006/07,14.932695163699842
Argyll and Bute,Child Poverty,Imputed,2006/07,14.311369721139897
Clackmannanshire,Child Poverty,Imputed,2006/07,25.09006287135666
Dumfries and Galloway,Child Poverty,Imputed,2006/07,16.65194918579796
Dundee City,Child Poverty,Imputed,2006/07,29.267912680466697
East Ayrshire,Child Poverty,Imputed,2006/07,22.930380638788325
East Dunbartonshire,Child Poverty,Imputed,2006/07,10.320948680369446
East Lothian,Child Poverty,Imputed,2006/07,15.432461573117024
East Renfrewshire,Child Poverty,Imputed,2006/07,11.267020956571194
"Edinburgh, City of",Child Poverty,Imputed,2006/07,21.564476621239212
Eilean Siar,Child Poverty,Imputed,2006/07,10.968266016829253
Falkirk,Child Poverty,Imputed,2006/07,18.574577312576988
Fife,Child Poverty,Imputed,2006/07,21.31757756521756
Glasgow City,Child Poverty,Imputed,2006/07,37.431375899001694
Highland,Child Poverty,Imputed,2006/07,15.357874026181221
Inverclyde,Child Poverty,Imputed,2006/07,24.64346591579734
Midlothian,Child Poverty,Imputed,2006/07,17.870898062676943
Moray,Child Poverty,Imputed,2006/07,12.722654819401038
North Ayrshire,Child Poverty,Imputed,2006/07,24.66393509419544
North Lanarkshire,Child Poverty,Imputed,2006/07,22.98058071248708
Orkney Islands,Child Poverty,Imputed,2006/07,8.22011559604226
Perth and Kinross,Child Poverty,Imputed,2006/07,11.408919542666554
Renfrewshire,Child Poverty,Imputed,2006/07,20.601160450809207
Scotland,Child Poverty,Imputed,2006/07,20.52684076895102
Scottish Borders,Child Poverty,Imputed,2006/07,13.666908118468578
Shetland Islands,Child Poverty,Imputed,2006/07,7.9910562737699316
South Ayrshire,Child Poverty,Imputed,2006/07,20.07792063897593
South Lanarkshire,Child Poverty,Imputed,2006/07,18.76069119966648
Stirling,Child Poverty,Imputed,2006/07,15.399134609717898
West Dunbartonshire,Child Poverty,Imputed,2006/07,26.21213458115272
West Lothian,Child Poverty,Imputed,2006/07,19.956185561975637
Aberdeen City,Child Poverty,Imputed,2007/08,17.14922842451097
Aberdeenshire,Child Poverty,Imputed,2007/08,9.961829857891887
Angus,Child Poverty,Imputed,2007/08,14.712999935457328
Argyll and Bute,Child Poverty,Imputed,2007/08,14.15762159594883
Clackmannanshire,Child Poverty,Imputed,2007/08,24.43439146612874
Dumfries and Galloway,Child Poverty,Imputed,2007/08,16.477133587722886
Dundee City,Child Poverty,Imputed,2007/08,28.460139338451167
East Ayrshire,Child Poverty,Imputed,2007/08,22.638724217199528
East Dunbartonshire,Child Poverty,Imputed,2007/08,10.192670506692684
East Lothian,Child Poverty,Imputed,2007/08,15.062965442253661
East Renfrewshire,Child Poverty,Imputed,2007/08,10.957178146898789
"Edinburgh, City of",Child Poverty,Imputed,2007/08,20.834760788187562
Eilean Siar,Child Poverty,Imputed,2007/08,10.78570755222242
Falkirk,Child Poverty,Imputed,2007/08,18.244474581562525
Fife,Child Poverty,Imputed,2007/08,20.86767707781486
Glasgow City,Child Poverty,Imputed,2007/08,36.29982922509899
Highland,Child Poverty,Imputed,2007/08,14.946291818638429
Inverclyde,Child Poverty,Imputed,2007/08,24.320000194539617
Midlothian,Child Poverty,Imputed,2007/08,17.798469735003938
Moray,Child Poverty,Imputed,2007/08,12.49868124050162
North Ayrshire,Child Poverty,Imputed,2007/08,24.571040791410482
North Lanarkshire,Child Poverty,Imputed,2007/08,22.545491237528026
Orkney Islands,Child Poverty,Imputed,2007/08,8.205752491356728
Perth and Kinross,Child Poverty,Imputed,2007/08,11.295365316469931
Renfrewshire,Child Poverty,Imputed,2007/08,20.202532980431847
Scotland,Child Poverty,Imputed,2007/08,20.05920415468907
Scottish Borders,Child Poverty,Imputed,2007/08,13.478350875459137
Shetland Islands,Child Poverty,Imputed,2007/08,7.89049606624884
South Ayrshire,Child Poverty,Imputed,2007/08,19.727054169294345
South Lanarkshire,Child Poverty,Imputed,2007/08,18.524194218507343
Stirling,Child Poverty,Imputed,2007/08,14.996208656182057
West Dunbartonshire,Child Poverty,Imputed,2007/08,25.794742104553535
West Lothian,Child Poverty,Imputed,2007/08,19.572404937864334
Aberdeen City,Child Poverty,Imputed,2008/09,16.466858129977627
Aberdeenshire,Child Poverty,Imputed,2008/09,9.629992533176134
Angus,Child Poverty,Imputed,2008/09,14.498682341545418
Argyll and Bute,Child Poverty,Imputed,2008/09,14.039487894731598
Clackmannanshire,Child Poverty,Imputed,2008/09,23.808064628452396
Dumfries and Galloway,Child Poverty,Imputed,2008/09,16.325167927213368
Dundee City,Child Poverty,Imputed,2008/09,27.697012718051322
East Ayrshire,Child Poverty,Imputed,2008/09,22.324549495213365
East Dunbartonshire,Child Poverty,Imputed,2008/09,10.059033412992795
East Lothian,Child Poverty,Imputed,2008/09,14.711656263647841
East Renfrewshire,Child Poverty,Imputed,2008/09,10.651050259086764
"Edinburgh, City of",Child Poverty,Imputed,2008/09,20.172749784845212
Eilean Siar,Child Poverty,Imputed,2008/09,10.601664899348066
Falkirk,Child Poverty,Imputed,2008/09,17.967182665639026
Fife,Child Poverty,Imputed,2008/09,20.44242860215003
Glasgow City,Child Poverty,Imputed,2008/09,35.20172440925646
Highland,Child Poverty,Imputed,2008/09,14.538140916205654
Inverclyde,Child Poverty,Imputed,2008/09,23.978475295930853
Midlothian,Child Poverty,Imputed,2008/09,17.727517918624443
Moray,Child Poverty,Imputed,2008/09,12.290069999537012
North Ayrshire,Child Poverty,Imputed,2008/09,24.507766189054678
North Lanarkshire,Child Poverty,Imputed,2008/09,22.133563316019337
Orkney Islands,Child Poverty,Imputed,2008/09,8.194288410520654
Perth and Kinross,Child Poverty,Imputed,2008/09,11.200645771532663
Renfrewshire,Child Poverty,Imputed,2008/09,19.79542348712337
Scotland,Child Poverty,Imputed,2008/09,19.619885719155956
Scottish Borders,Child Poverty,Imputed,2008/09,13.350243062641747
Shetland Islands,Child Poverty,Imputed,2008/09,7.8036669699277255
South Ayrshire,Child Poverty,Imputed,2008/09,19.37938583835592
South Lanarkshire,Child Poverty,Imputed,2008/09,18.284196815013672
Stirling,Child Poverty,Imputed,2008/09,14.644510846843291
West Dunbartonshire,Child Poverty,Imputed,2008/09,25.433919629303897
West Lothian,Child Poverty,Imputed,2008/09,19.198178461534425
Aberdeen City,Child Poverty,Raw data,2009/10,15.9
Aberdeenshire,Child Poverty,Raw data,2009/10,8.7
Angus,Child Poverty,Raw data,2009/10,14.499999999999998
Argyll and Bute,Child Poverty,Raw data,2009/10,13.700000000000001
Clackmannanshire,Child Poverty,Raw data,2009/10,22.8
Dumfries and Galloway,Child Poverty,Raw data,2009/10,16.7
Dundee City,Child Poverty,Raw data,2009/10,26.900000000000002
East Ayrshire,Child Poverty,Raw data,2009/10,22.400000000000002
East Dunbartonshire,Child Poverty,Raw data,2009/10,9.5
East Lothian,Child Poverty,Raw data,2009/10,13.900000000000002
East Renfrewshire,Child Poverty,Raw data,2009/10,9.8
"Edinburgh, City of",Child Poverty,Raw data,2009/10,18.7
Eilean Siar,Child Poverty,Raw data,2009/10,10.6
Falkirk,Child Poverty,Raw data,2009/10,16.900000000000002
Fife,Child Poverty,Raw data,2009/10,19.900000000000002
Glasgow City,Child Poverty,Raw data,2009/10,34.300000000000004
Highland,Child Poverty,Raw data,2009/10,14.399999999999999
Inverclyde,Child Poverty,Raw data,2009/10,23.3
Midlothian,Child Poverty,Raw data,2009/10,17.2
Moray,Child Poverty,Raw data,2009/10,12.1
North Ayrshire,Child Poverty,Raw data,2009/10,24.5
North Lanarkshire,Child Poverty,Raw data,2009/10,21.3
Orkney Islands,Child Poverty,Raw data,2009/10,8
Perth and Kinross,Child Poverty,Raw data,2009/10,10.8
Renfrewshire,Child Poverty,Raw data,2009/10,18.7
Scotland,Child Poverty,Raw data,2009/10,19
Scottish Borders,Child Poverty,Raw data,2009/10,13
Shetland Islands,Child Poverty,Raw data,2009/10,7.000000000000001
South Ayrshire,Child Poverty,Raw data,2009/10,18.8
South Lanarkshire,Child Poverty,Raw data,2009/10,17.599999999999998
Stirling,Child Poverty,Raw data,2009/10,13.600000000000001
West Dunbartonshire,Child Poverty,Raw data,2009/10,25.2
West Lothian,Child Poverty,Raw data,2009/10,17.8
Aberdeen City,Child Poverty,Raw data,2010/11,15.299999999999999
Aberdeenshire,Child Poverty,Raw data,2010/11,8.5
Angus,Child Poverty,Raw data,2010/11,14.099999999999998
Argyll and Bute,Child Poverty,Raw data,2010/11,13.200000000000001
Clackmannanshire,Child Poverty,Raw data,2010/11,22.400000000000002
Dumfries and Galloway,Child Poverty,Raw data,2010/11,16.2
Dundee City,Child Poverty,Raw data,2010/11,25.8
East Ayrshire,Child Poverty,Raw data,2010/11,21.8
East Dunbartonshire,Child Poverty,Raw data,2010/11,10
East Lothian,Child Poverty,Raw data,2010/11,13.700000000000001
East Renfrewshire,Child Poverty,Raw data,2010/11,9.6
"Edinburgh, City of",Child Poverty,Raw data,2010/11,18.2
Eilean Siar,Child Poverty,Raw data,2010/11,10.2
Falkirk,Child Poverty,Raw data,2010/11,16.8
Fife,Child Poverty,Raw data,2010/11,19.400000000000002
Glasgow City,Child Poverty,Raw data,2010/11,33.1
Highland,Child Poverty,Raw data,2010/11,14.2
Inverclyde,Child Poverty,Raw data,2010/11,23.3
Midlothian,Child Poverty,Raw data,2010/11,17.299999999999997
Moray,Child Poverty,Raw data,2010/11,11.799999999999999
North Ayrshire,Child Poverty,Raw data,2010/11,24.4
North Lanarkshire,Child Poverty,Raw data,2010/11,21.099999999999998
Orkney Islands,Child Poverty,Raw data,2010/11,7.9
Perth and Kinross,Child Poverty,Raw data,2010/11,10.8
Renfrewshire,Child Poverty,Raw data,2010/11,18.6
Scotland,Child Poverty,Raw data,2010/11,18.6
Scottish Borders,Child Poverty,Raw data,2010/11,12.8
Shetland Islands,Child Poverty,Raw data,2010/11,6.7
South Ayrshire,Child Poverty,Raw data,2010/11,18
South Lanarkshire,Child Poverty,Raw data,2010/11,17.5
Stirling,Child Poverty,Raw data,2010/11,13.600000000000001
West Dunbartonshire,Child Poverty,Raw data,2010/11,25
West Lothian,Child Poverty,Raw data,2010/11,17.4
Aberdeen City,Child Poverty,Raw data,2011/12,14.7
Aberdeenshire,Child Poverty,Raw data,2011/12,8.5
Angus,Child Poverty,Raw data,2011/12,14.499999999999998
Argyll and Bute,Child Poverty,Raw data,2011/12,13.200000000000001
Clackmannanshire,Child Poverty,Raw data,2011/12,22.7
Dumfries and Galloway,Child Poverty,Raw data,2011/12,16.3
Dundee City,Child Poverty,Raw data,2011/12,25.6
East Ayrshire,Child Poverty,Raw data,2011/12,22
East Dunbartonshire,Child Poverty,Raw data,2011/12,9.5
East Lothian,Child Poverty,Raw data,2011/12,13.600000000000001
East Renfrewshire,Child Poverty,Raw data,2011/12,9.4
"Edinburgh, City of",Child Poverty,Raw data,2011/12,17.9
Eilean Siar,Child Poverty,Raw data,2011/12,10.299999999999999
Falkirk,Child Poverty,Raw data,2011/12,17.1
Fife,Child Poverty,Raw data,2011/12,19.7
Glasgow City,Child Poverty,Raw data,2011/12,32.2
Highland,Child Poverty,Raw data,2011/12,13.900000000000002
Inverclyde,Child Poverty,Raw data,2011/12,23.599999999999998
Midlothian,Child Poverty,Raw data,2011/12,17.9
Moray,Child Poverty,Raw data,2011/12,12.3
North Ayrshire,Child Poverty,Raw data,2011/12,25
North Lanarkshire,Child Poverty,Raw data,2011/12,20.9
Orkney Islands,Child Poverty,Raw data,2011/12,8.1
Perth and Kinross,Child Poverty,Raw data,2011/12,11.200000000000001
Renfrewshire,Child Poverty,Raw data,2011/12,18.6
Scotland,Child Poverty,Raw data,2011/12,18.5
Scottish Borders,Child Poverty,Raw data,2011/12,12.6
Shetland Islands,Child Poverty,Raw data,2011/12,6.7
South Ayrshire,Child Poverty,Raw data,2011/12,18
South Lanarkshire,Child Poverty,Raw data,2011/12,17.4
Stirling,Child Poverty,Raw data,2011/12,13.5
West Dunbartonshire,Child Poverty,Raw data,2011/12,25
West Lothian,Child Poverty,Raw data,2011/12,17.1
Aberdeen City,Child Poverty,Raw data,2012/13,13.3
Aberdeenshire,Child Poverty,Raw data,2012/13,7.8
Angus,Child Poverty,Raw data,2012/13,13.5
Argyll and Bute,Child Poverty,Raw data,2012/13,12.3
Clackmannanshire,Child Poverty,Raw data,2012/13,22.1
Dumfries and Galloway,Child Poverty,Raw data,2012/13,15.6
Dundee City,Child Poverty,Raw data,2012/13,24.5
East Ayrshire,Child Poverty,Raw data,2012/13,21.7
East Dunbartonshire,Child Poverty,Raw data,2012/13,9.1
East Lothian,Child Poverty,Raw data,2012/13,12.7
East Renfrewshire,Child Poverty,Raw data,2012/13,8.5
"Edinburgh, City of",Child Poverty,Raw data,2012/13,16.400000000000002
Eilean Siar,Child Poverty,Raw data,2012/13,9.4
Falkirk,Child Poverty,Raw data,2012/13,16.7
Fife,Child Poverty,Raw data,2012/13,18.5
Glasgow City,Child Poverty,Raw data,2012/13,30
Highland,Child Poverty,Raw data,2012/13,13
Inverclyde,Child Poverty,Raw data,2012/13,22.6
Midlothian,Child Poverty,Raw data,2012/13,17.599999999999998
Moray,Child Poverty,Raw data,2012/13,11.4
North Ayrshire,Child Poverty,Raw data,2012/13,24.3
North Lanarkshire,Child Poverty,Raw data,2012/13,19.8
Orkney Islands,Child Poverty,Raw data,2012/13,7.000000000000001
Perth and Kinross,Child Poverty,Raw data,2012/13,10.9
Renfrewshire,Child Poverty,Raw data,2012/13,17.5
Scotland,Child Poverty,Raw data,2012/13,17.5
Scottish Borders,Child Poverty,Raw data,2012/13,12.2
Shetland Islands,Child Poverty,Raw data,2012/13,6.7
South Ayrshire,Child Poverty,Raw data,2012/13,17.4
South Lanarkshire,Child Poverty,Raw data,2012/13,17
Stirling,Child Poverty,Raw data,2012/13,13.3
West Dunbartonshire,Child Poverty,Raw data,2012/13,24.8
West Lothian,Child Poverty,Raw data,2012/13,16.3
Aberdeen City,Child Poverty,Raw data,2013/14,12.5
Aberdeenshire,Child Poverty,Raw data,2013/14,7.3
Angus,Child Poverty,Raw data,2013/14,12.9
Argyll and Bute,Child Poverty,Raw data,2013/14,12.5
Clackmannanshire,Child Poverty,Raw data,2013/14,21.6
Dumfries and Galloway,Child Poverty,Raw data,2013/14,15.6
Dundee City,Child Poverty,Raw data,2013/14,23.400000000000002
East Ayrshire,Child Poverty,Raw data,2013/14,21.2
East Dunbartonshire,Child Poverty,Raw data,2013/14,9
East Lothian,Child Poverty,Raw data,2013/14,12.9
East Renfrewshire,Child Poverty,Raw data,2013/14,8.6
"Edinburgh, City of",Child Poverty,Raw data,2013/14,15.8
Eilean Siar,Child Poverty,Raw data,2013/14,9.3
Falkirk,Child Poverty,Raw data,2013/14,16.5
Fife,Child Poverty,Raw data,2013/14,18.4
Glasgow City,Child Poverty,Raw data,2013/14,29.299999999999997
Highland,Child Poverty,Raw data,2013/14,12.5
Inverclyde,Child Poverty,Raw data,2013/14,23
Midlothian,Child Poverty,Raw data,2013/14,17
Moray,Child Poverty,Raw data,2013/14,10.4
North Ayrshire,Child Poverty,Raw data,2013/14,24.4
North Lanarkshire,Child Poverty,Raw data,2013/14,19.6
Orkney Islands,Child Poverty,Raw data,2013/14,7.199999999999999
Perth and Kinross,Child Poverty,Raw data,2013/14,10.9
Renfrewshire,Child Poverty,Raw data,2013/14,17.599999999999998
Scotland,Child Poverty,Raw data,2013/14,17.2
Scottish Borders,Child Poverty,Raw data,2013/14,12.3
Shetland Islands,Child Poverty,Raw data,2013/14,6.5
South Ayrshire,Child Poverty,Raw data,2013/14,17.2
South Lanarkshire,Child Poverty,Raw data,2013/14,16.6
Stirling,Child Poverty,Raw data,2013/14,12.2
West Dunbartonshire,Child Poverty,Raw data,2013/14,23.7
West Lothian,Child Poverty,Raw data,2013/14,15.9
Aberdeen City,Child Poverty,Raw data,2014/15,12.8
Aberdeenshire,Child Poverty,Raw data,2014/15,8.200000000000001
Angus,Child Poverty,Raw data,2014/15,14.299999999999999
Argyll and Bute,Child Poverty,Raw data,2014/15,13.900000000000002
Clackmannanshire,Child Poverty,Raw data,2014/15,21.9
Dumfries and Galloway,Child Poverty,Raw data,2014/15,17.5
Dundee City,Child Poverty,Raw data,2014/15,24.7
East Ayrshire,Child Poverty,Raw data,2014/15,22.1
East Dunbartonshire,Child Poverty,Raw data,2014/15,10.6
East Lothian,Child Poverty,Raw data,2014/15,13.8
East Renfrewshire,Child Poverty,Raw data,2014/15,9.8
"Edinburgh, City of",Child Poverty,Raw data,2014/15,16.8
Eilean Siar,Child Poverty,Raw data,2014/15,9.6
Falkirk,Child Poverty,Raw data,2014/15,17.2
Fife,Child Poverty,Raw data,2014/15,19.400000000000002
Glasgow City,Child Poverty,Raw data,2014/15,30.8
Highland,Child Poverty,Raw data,2014/15,13.900000000000002
Inverclyde,Child Poverty,Raw data,2014/15,23.5
Midlothian,Child Poverty,Raw data,2014/15,18.2
Moray,Child Poverty,Raw data,2014/15,12.2
North Ayrshire,Child Poverty,Raw data,2014/15,25.4
North Lanarkshire,Child Poverty,Raw data,2014/15,20.9
Orkney Islands,Child Poverty,Raw data,2014/15,9.4
Perth and Kinross,Child Poverty,Raw data,2014/15,11.799999999999999
Renfrewshire,Child Poverty,Raw data,2014/15,18.6
Scotland,Child Poverty,Raw data,2014/15,18.4
Scottish Borders,Child Poverty,Raw data,2014/15,18.6
Shetland Islands,Child Poverty,Raw data,2014/15,6.9
South Ayrshire,Child Poverty,Raw data,2014/15,18.5
South Lanarkshire,Child Poverty,Raw data,2014/15,18.099999999999998
Stirling,Child Poverty,Raw data,2014/15,13.5
West Dunbartonshire,Child Poverty,Raw data,2014/15,24.6
West Lothian,Child Poverty,Raw data,2014/15,16.900000000000002
Aberdeen City,Child Poverty,Imputed,2015/16,11.247783384107771
Aberdeenshire,Child Poverty,Imputed,2015/16,8.072057490020972
Angus,Child Poverty,Imputed,2015/16,13.662416792064823
Argyll and Bute,Child Poverty,Imputed,2015/16,13.76149463708657
Clackmannanshire,Child Poverty,Imputed,2015/16,20.20370864419945
Dumfries and Galloway,Child Poverty,Imputed,2015/16,16.786342873354283
Dundee City,Child Poverty,Imputed,2015/16,23.28494782705147
East Ayrshire,Child Poverty,Imputed,2015/16,21.147110198125244
East Dunbartonshire,Child Poverty,Imputed,2015/16,10.654930869241895
East Lothian,Child Poverty,Imputed,2015/16,13.801097957888437
East Renfrewshire,Child Poverty,Imputed,2015/16,9.148348283640265
"Edinburgh, City of",Child Poverty,Imputed,2015/16,16.06418537102171
Eilean Siar,Child Poverty,Imputed,2015/16,9.60507582011339
Falkirk,Child Poverty,Imputed,2015/16,16.90794294994544
Fife,Child Poverty,Imputed,2015/16,18.73453416245292
Glasgow City,Child Poverty,Imputed,2015/16,28.98642885089336
Highland,Child Poverty,Imputed,2015/16,13.224056560088185
Inverclyde,Child Poverty,Imputed,2015/16,22.945793260665955
Midlothian,Child Poverty,Imputed,2015/16,17.803639462667892
Moray,Child Poverty,Imputed,2015/16,11.535686248901198
North Ayrshire,Child Poverty,Imputed,2015/16,25.074548784451963
North Lanarkshire,Child Poverty,Imputed,2015/16,20.594106038793544
Orkney Islands,Child Poverty,Imputed,2015/16,9.873622827730793
Perth and Kinross,Child Poverty,Imputed,2015/16,11.634366608625735
Renfrewshire,Child Poverty,Imputed,2015/16,18.116420649201626
Scotland,Child Poverty,Imputed,2015/16,17.54809068907773
Scottish Borders,Child Poverty,Imputed,2015/16,13.913972884842602
Shetland Islands,Child Poverty,Imputed,2015/16,7.1482907497629276
South Ayrshire,Child Poverty,Imputed,2015/16,17.865214009010487
South Lanarkshire,Child Poverty,Imputed,2015/16,17.66542747159244
Stirling,Child Poverty,Imputed,2015/16,13.18057016064543
West Dunbartonshire,Child Poverty,Imputed,2015/16,23.11709013594192
West Lothian,Child Poverty,Imputed,2015/16,16.87659374685647
Aberdeen City,Child Poverty,Imputed,2016/17,10.840930058989704
Aberdeenshire,Child Poverty,Imputed,2016/17,7.885438641010803
Angus,Child Poverty,Imputed,2016/17,13.555339304338176
Argyll and Bute,Child Poverty,Imputed,2016/17,13.754017114773967
Clackmannanshire,Child Poverty,Imputed,2016/17,19.740255755948336
Dumfries and Galloway,Child Poverty,Imputed,2016/17,16.82651113809465
Dundee City,Child Poverty,Imputed,2016/17,22.79774722361815
East Ayrshire,Child Poverty,Imputed,2016/17,20.980211587998532
East Dunbartonshire,Child Poverty,Imputed,2016/17,10.647611538446297
East Lothian,Child Poverty,Imputed,2016/17,13.704236419712913
East Renfrewshire,Child Poverty,Imputed,2016/17,8.903604434738314
"Edinburgh, City of",Child Poverty,Imputed,2016/17,15.655957512446022
Eilean Siar,Child Poverty,Imputed,2016/17,9.524395200036931
Falkirk,Child Poverty,Imputed,2016/17,16.774522058667127
Fife,Child Poverty,Imputed,2016/17,18.535939179625164
Glasgow City,Child Poverty,Imputed,2016/17,28.22543997574628
Highland,Child Poverty,Imputed,2016/17,12.9889242488533
Inverclyde,Child Poverty,Imputed,2016/17,22.925836484870427
Midlothian,Child Poverty,Imputed,2016/17,17.917463713644455
Moray,Child Poverty,Imputed,2016/17,11.43675219198415
North Ayrshire,Child Poverty,Imputed,2016/17,25.150103308373275
North Lanarkshire,Child Poverty,Imputed,2016/17,20.363887783871473
Orkney Islands,Child Poverty,Imputed,2016/17,9.935536397337561
Perth and Kinross,Child Poverty,Imputed,2016/17,11.687422108345435
Renfrewshire,Child Poverty,Imputed,2016/17,17.91468921056521
Scotland,Child Poverty,Imputed,2016/17,17.308109609870645
Scottish Borders,Child Poverty,Imputed,2016/17,13.95861803636791
Shetland Islands,Child Poverty,Imputed,2016/17,7.180331377225625
South Ayrshire,Child Poverty,Imputed,2016/17,17.71159675584694
South Lanarkshire,Child Poverty,Imputed,2016/17,17.48403743759477
Stirling,Child Poverty,Imputed,2016/17,13.071893231633526
West Dunbartonshire,Child Poverty,Imputed,2016/17,22.75535202050858
West Lothian,Child Poverty,Imputed,2016/17,16.702878340035628
Aberdeen City,Child Poverty,Projected,2017/18,10.446381673822343
Aberdeenshire,Child Poverty,Projected,2017/18,7.71072626978665
Angus,Child Poverty,Projected,2017/18,13.454785522239915
Argyll and Bute,Child Poverty,Projected,2017/18,13.764203147085764
Clackmannanshire,Child Poverty,Projected,2017/18,19.301611784250927
Dumfries and Galloway,Child Poverty,Projected,2017/18,16.889721114610253
Dundee City,Child Poverty,Projected,2017/18,22.34261451541089
East Ayrshire,Child Poverty,Projected,2017/18,20.82516738317402
East Dunbartonshire,Child Poverty,Projected,2017/18,10.655242198841249
East Lothian,Child Poverty,Projected,2017/18,13.62151996389305
East Renfrewshire,Child Poverty,Projected,2017/18,8.677816978966982
"Edinburgh, City of",Child Poverty,Projected,2017/18,15.267693354331945
Eilean Siar,Child Poverty,Projected,2017/18,9.45414697246059
Falkirk,Child Poverty,Projected,2017/18,16.657749818549103
Fife,Child Poverty,Projected,2017/18,18.357650226710856
Glasgow City,Child Poverty,Projected,2017/18,27.497918476560468
Highland,Child Poverty,Projected,2017/18,12.764951993144834
Inverclyde,Child Poverty,Projected,2017/18,22.934776992121012
Midlothian,Child Poverty,Projected,2017/18,18.04956705233812
Moray,Child Poverty,Projected,2017/18,11.349492843260023
North Ayrshire,Child Poverty,Projected,2017/18,25.242533004447534
North Lanarkshire,Child Poverty,Projected,2017/18,20.148371996051285
Orkney Islands,Child Poverty,Projected,2017/18,10.00602528136428
Perth and Kinross,Child Poverty,Projected,2017/18,11.753692555802758
Renfrewshire,Child Poverty,Projected,2017/18,17.72491666524806
Scotland,Child Poverty,Projected,2017/18,17.086906529706763
Scottish Borders,Child Poverty,Projected,2017/18,14.021244233102545
Shetland Islands,Child Poverty,Projected,2017/18,7.219078311617473
South Ayrshire,Child Poverty,Projected,2017/18,17.585031418726263
South Lanarkshire,Child Poverty,Projected,2017/18,17.311286118065617
Stirling,Child Poverty,Projected,2017/18,12.988100781441348
West Dunbartonshire,Child Poverty,Projected,2017/18,22.40505318482633
West Lothian,Child Poverty,Projected,2017/18,16.546322882454152
Aberdeen City,Child Poverty,Projected,2018/19,10.068806914290846
Aberdeenshire,Child Poverty,Projected,2018/19,7.547770829988321
Angus,Child Poverty,Projected,2018/19,13.359534960289494
Argyll and Bute,Child Poverty,Projected,2018/19,13.787819744378327
Clackmannanshire,Child Poverty,Projected,2018/19,18.879156872524273
Dumfries and Galloway,Child Poverty,Projected,2018/19,16.976262891027485
Dundee City,Child Poverty,Projected,2018/19,21.906236242747827
East Ayrshire,Child Poverty,Projected,2018/19,20.681839983549764
East Dunbartonshire,Child Poverty,Projected,2018/19,10.67455580486716
East Lothian,Child Poverty,Projected,2018/19,13.555498605765592
East Renfrewshire,Child Poverty,Projected,2018/19,8.469283418637202
"Edinburgh, City of",Child Poverty,Projected,2018/19,14.897443460868748
Eilean Siar,Child Poverty,Projected,2018/19,9.39227370424168
Falkirk,Child Poverty,Projected,2018/19,16.558591365416103
Fife,Child Poverty,Projected,2018/19,18.195849046445208
Glasgow City,Child Poverty,Projected,2018/19,26.80412568873521
Highland,Child Poverty,Projected,2018/19,12.553795271353792
Inverclyde,Child Poverty,Projected,2018/19,22.95395077765581
Midlothian,Child Poverty,Projected,2018/19,18.199410579536444
Moray,Child Poverty,Projected,2018/19,11.274484487567923
North Ayrshire,Child Poverty,Projected,2018/19,25.363907297801422
North Lanarkshire,Child Poverty,Projected,2018/19,19.951528372657133
Orkney Islands,Child Poverty,Projected,2018/19,10.095893079513575
Perth and Kinross,Child Poverty,Projected,2018/19,11.834804707100574
Renfrewshire,Child Poverty,Projected,2018/19,17.550485874484846
Scotland,Child Poverty,Projected,2018/19,16.881602734482744
Scottish Borders,Child Poverty,Projected,2018/19,14.107185043106027
Shetland Islands,Child Poverty,Projected,2018/19,7.253050767083664
South Ayrshire,Child Poverty,Projected,2018/19,17.48880363955053
South Lanarkshire,Child Poverty,Projected,2018/19,17.14837301090186
Stirling,Child Poverty,Projected,2018/19,12.930191284490016
West Dunbartonshire,Child Poverty,Projected,2018/19,22.06539967703004
West Lothian,Child Poverty,Projected,2018/19,16.405170709205976
Aberdeen City,Child Poverty,Projected,2019/20,9.704870160793115
