CPP,Indicator,Type,Year,value
Aberdeenshire,Healthy Birthweight,Raw data,2011/12,90.48207742139805
Angus,Healthy Birthweight,Raw data,2011/12,89.80288471056963
Argyll and Bute,Healthy Birthweight,Raw data,2011/12,89.88423201229598
Clackmannanshire,Healthy Birthweight,Raw data,2011/12,89.09648534163064
Dumfries and Galloway,Healthy Birthweight,Raw data,2011/12,89.08334496856854
Dundee City,Healthy Birthweight,Raw data,2011/12,89.75001046859218
East Ayrshire,Healthy Birthweight,Raw data,2011/12,89.6442216864752
East Dunbartonshire,Healthy Birthweight,Raw data,2011/12,88.68451933941903
East Lothian,Healthy Birthweight,Raw data,2011/12,89.97310823649582
East Renfrewshire,Healthy Birthweight,Raw data,2011/12,89.29070348824632
"Edinburgh, City of",Healthy Birthweight,Raw data,2011/12,89.90280187836133
Eilean Siar,Healthy Birthweight,Raw data,2011/12,87.1611697638557
Falkirk,Healthy Birthweight,Raw data,2011/12,88.85464244394292
Fife,Healthy Birthweight,Raw data,2011/12,89.0012105247517
Glasgow City,Healthy Birthweight,Raw data,2011/12,89.43644239619249
Highland,Healthy Birthweight,Raw data,2011/12,89.66670509811394
Inverclyde,Healthy Birthweight,Raw data,2011/12,90.79717833917238
Midlothian,Healthy Birthweight,Raw data,2011/12,88.92268930192937
Moray,Healthy Birthweight,Raw data,2011/12,89.65533413418409
North Ayrshire,Healthy Birthweight,Raw data,2011/12,88.60994293576562
North Lanarkshire,Healthy Birthweight,Raw data,2011/12,88.63920467507565
Orkney Islands,Healthy Birthweight,Raw data,2011/12,87.82823314792624
Perth and Kinross,Healthy Birthweight,Raw data,2011/12,88.8837190553985
Renfrewshire,Healthy Birthweight,Raw data,2011/12,89.80640448722426
Scotland,Healthy Birthweight,Raw data,2011/12,89.47421227686355
Scottish Borders,Healthy Birthweight,Raw data,2011/12,89.7403683749752
Shetland Islands,Healthy Birthweight,Raw data,2011/12,90.47524703058103
South Ayrshire,Healthy Birthweight,Raw data,2011/12,89.64852793914065
South Lanarkshire,Healthy Birthweight,Raw data,2011/12,89.10867510343071
Stirling,Healthy Birthweight,Raw data,2011/12,88.94952144408552
West Dunbartonshire,Healthy Birthweight,Raw data,2011/12,89.41671484302816
West Lothian,Healthy Birthweight,Raw data,2011/12,90.11184691190338
Aberdeen City,Healthy Birthweight,Raw data,2012/13,90.1581560824261
Aberdeenshire,Healthy Birthweight,Raw data,2012/13,90.38409019293594
Angus,Healthy Birthweight,Raw data,2012/13,89.25149254482909
Argyll and Bute,Healthy Birthweight,Raw data,2012/13,89.92912390063866
Clackmannanshire,Healthy Birthweight,Raw data,2012/13,88.39251889806076
Dumfries and Galloway,Healthy Birthweight,Raw data,2012/13,89.01812745802347
Dundee City,Healthy Birthweight,Raw data,2012/13,90.2171433054743
East Ayrshire,Healthy Birthweight,Raw data,2012/13,89.25540196183222
East Dunbartonshire,Healthy Birthweight,Raw data,2012/13,89.04156097759721
East Lothian,Healthy Birthweight,Raw data,2012/13,90.06714869576318
East Renfrewshire,Healthy Birthweight,Raw data,2012/13,89.55326859657664
"Edinburgh, City of",Healthy Birthweight,Raw data,2012/13,90.06927856848283
Eilean Siar,Healthy Birthweight,Raw data,2012/13,86.80533132793347
Falkirk,Healthy Birthweight,Raw data,2012/13,89.27840107113764
Fife,Healthy Birthweight,Raw data,2012/13,88.75806202946687
Glasgow City,Healthy Birthweight,Raw data,2012/13,89.40483688973201
Highland,Healthy Birthweight,Raw data,2012/13,89.65274546650504
Inverclyde,Healthy Birthweight,Raw data,2012/13,91.20878698301054
Midlothian,Healthy Birthweight,Raw data,2012/13,89.30983857281251
Moray,Healthy Birthweight,Raw data,2012/13,90.28497125058084
North Ayrshire,Healthy Birthweight,Raw data,2012/13,88.14019754642315
North Lanarkshire,Healthy Birthweight,Raw data,2012/13,88.74190320657344
Orkney Islands,Healthy Birthweight,Raw data,2012/13,87.58422250018889
Perth and Kinross,Healthy Birthweight,Raw data,2012/13,89.37987512879089
Renfrewshire,Healthy Birthweight,Raw data,2012/13,89.84674883028335
Scotland,Healthy Birthweight,Raw data,2012/13,89.50601013543483
Scottish Borders,Healthy Birthweight,Raw data,2012/13,89.7195050665379
Shetland Islands,Healthy Birthweight,Raw data,2012/13,89.52775008308407
South Ayrshire,Healthy Birthweight,Raw data,2012/13,89.61765069033493
South Lanarkshire,Healthy Birthweight,Raw data,2012/13,89.25464667551579
Stirling,Healthy Birthweight,Raw data,2012/13,88.40687929695237
